song,length
And the Gods Made Love,4860 secs
Have You Ever Been (To Electric Ladyland),7860 secs
Crosstown Traffic,8700 secs
Voodoo Chile,54000 secs
Little Miss Strange,10320 secs
Long Hot Summer Night,12420 secs
Come On (Part 1),14940 secs
Gypsy Eyes,13380 secs
Burning of the Midnight Lamp,13140 secs
"Rainy Day, Dream Away",13320 secs
1983... (A Merman I Should Turn to Be),49140 secs
"Moon, Turn the Tides... Gently Gently Away",3720 secs
"Still Raining, Still Dreaming",15900 secs
House Burning Down,16380 secs
All Along the Watchtower,14460 secs
Voodoo Child (Slight Return),18720 secs
